ShipmentId,Date,GeoId,PersonId,ProductId,Boxes,Sales
123,2023-12-28,15,19,4,165,756.6
124,2023-05-18,1,14,3,101,431.27
125,2023-08-30,7,23,9,71,343.99
126,2024-04-27,10,3,6,69,360.37
127,2023-04-16,14,25,4,141,786.67
128,2024-05-10,10,23,7,75,377.57
129,2023-03-17,6,17,15,57,254.58
130,2023-05-09,1,24,9,6,26.02
131,2024-03-05,8,23,1,158,954.93
132,2024-08-03,7,17,13,103,568.65
133,2023-05-05,15,5,5,102,557.91
134,2023-08-08,8,8,7,120,654.16
135,2024-11-07,15,7,6,174,1062.78
136,2024-12-24,9,8,2,178,734.51
137,2024-02-29,3,6,1,122,664.56
138,2023-11-23,2,12,3,373,1925.05
139,2023-09-11,11,17,6,84,471.89
140,2024-03-23,3,12,15,80,402.26
141,2024-03-07,7,19,3,453,2567.01
142,2023-08-04,11,22,13,21,119.83
143,2023-01-17,3,24,3,49,211.02
144,2023-04-21,2,24,13,71,397.84
145,2024-12-01,1,18,2,248,1093.03
146,2023-11-02,5,8,1,16,93.16
147,2023-12-19,8,2,11,78,346.73
148,2023-12-08,7,1,1,5,24.36
149,2024-07-26,2,21,2,146,553.44
150,2023-02-17,9,13,1,44,293.63
151,2023-03-02,15,6,10,163,661.16
152,2023-07-21,4,9,7,149,667.46
153,2023-12-22,4,16,15,73,399.46
154,2024-05-05,1,16,13,153,921.59
155,2023-12-25,7,24,2,110,493.04
156,2023-11-19,3,3,14,78,233.29
157,2024-11-16,11,18,12,70,403.4
158,2023-04-28,9,25,11,35,168.17
159,2024-02-22,8,11,8,149,693.19
160,2024-02-01,2,13,4,56,280.54
161,2023-12-13,6,10,3,127,787.2
162,2024-08-13,9,5,4,21,126.48
163,2023-07-15,10,1,5,99,426.01
164,2024-11-28,15,16,13,55,293.19
165,2023-08-31,3,20,1,47,245.31
166,2024-02-03,14,24,13,146,743.59
167,2024-01-16,8,1,8,182,1201.94
168,2024-09-13,7,19,1,109,738.8
169,2023-11-17,15,23,2,158,773.98
170,2023-07-28,5,23,14,1,2.79
171,2023-01-16,12,12,8,121,731.34
172,2023-09-23,9,1,4,98,416.22
173,2024-08-27,6,1,5,87,417.4
174,2023-01-08,4,6,15,76,356.39
175,2024-10-17,14,14,8,141,665.75
176,2024-02-01,12,21,3,58,311.18
177,2023-04-13,14,10,1,84,490.98
178,2023-08-09,12,3,7,353,2086.24
179,2024-02-10,5,15,4,141,743.75
180,2023-08-19,14,8,2,60,225.91
181,2023-03-21,15,1,10,68,319.25
182,2024-05-01,12,12,5,170,914.55
183,2024-05-06,8,17,15,66,433.99
184,2023-03-28,8,3,13,76,455.38
185,2023-07-25,14,13,12,29,157.29
186,2023-06-28,6,14,8,209,1356.52
187,2024-04-27,9,18,10,70,404.25
188,2024-06-17,14,13,3,285,1683.69
189,2024-06-15,2,3,10,67,333.09
190,2024-11-17,9,10,7,9,46.57
191,2024-07-15,3,25,5,53,267.86
192,2023-08-23,13,23,6,75,426.78
193,2023-03-20,8,10,13,18,97.33
194,2024-03-25,9,17,12,44,311.71
195,2024-10-31,1,17,2,112,586.08
196,2024-12-13,1,17,4,155,759.6
197,2023-06-18,12,2,6,86,504.34
198,2023-06-22,15,8,4,41,203.37
199,2023-01-28,5,14,4,43,235.75
200,2023-04-14,10,11,1,122,642.03
201,2024-02-10,1,2,9,64,315.28
202,2024-02-04,2,15,12,133,1053.37
203,2023-09-29,10,13,1,107,645.05
204,2023-08-15,4,12,8,13,79.35
205,2024-08-29,10,15,9,21,96.02
206,2023-12-03,11,24,6,211,1010.74
207,2024-08-13,2,22,12,129,821.7
208,2024-12-05,11,24,1,393,2325.05
209,2023-08-20,3,17,4,179,994.97
210,2023-05-29,7,2,12,82,393.54
211,2024-11-27,12,10,8,108,590.18
212,2024-04-09,8,16,6,78,513.62
213,2023-08-01,3,21,5,30,192.8
214,2024-03-30,12,5,8,238,1428.01
215,2024-01-12,1,12,9,179,746.79
216,2024-10-23,15,18,14,16,47.07
217,2023-07-07,15,13,3,49,239.25
218,2024-12-25,13,20,4,422,2376.67
219,2024-11-15,5,8,5,269,1374.49
220,2023-05-13,1,1,7,165,793.63
221,2023-05-01,14,14,15,27,161.6
222,2024-01-25,11,21,4,64,350.95
223,2023-02-02,7,18,14,5,15.47
224,2023-08-07,4,21,8,36,200.44
225,2023-11-15,15,10,9,84,475.0
226,2024-12-09,6,18,10,152,689.3
227,2024-12-26,7,3,12,109,828.4
228,2023-04-21,12,3,7,159,996.68
229,2024-10-13,12,22,8,114,610.52
230,2023-03-08,6,22,11,16,64.29
231,2024-07-01,15,19,13,63,274.62
232,2024-09-10,7,21,9,16,85.78
233,2024-10-13,5,6,13,62,304.98
234,2023-06-13,3,6,10,19,95.71
235,2024-10-15,1,12,3,182,974.41
236,2023-03-26,2,11,11,130,528.1
237,2024-01-15,7,19,7,34,192.16
238,2023-12-10,15,23,11,1,4.37
239,2023-08-19,12,16,4,43,263.78
240,2023-01-17,3,7,3,103,514.67
241,2024-07-18,9,13,3,49,309.81
242,2023-09-03,6,11,4,110,654.72
243,2024-04-28,13,1,5,218,1161.67
244,2023-10-27,4,20,3,268,1510.11
245,2023-10-01,5,24,6,210,1200.63
246,2024-10-09,11,5,13,298,1538.88
247,2023-03-11,2,18,7,28,151.31
248,2024-06-22,5,5,1,109,756.87
249,2024-06-29,4,21,8,82,501.13
250,2023-10-05,7,25,15,108,603.62
251,2023-07-11,4,25,2,36,168.83
252,2023-01-04,13,11,2,121,502.88
253,2024-11-15,6,8,3,215,1039.29
254,2024-11-23,6,18,5,116,643.52
255,2023-06-26,5,1,7,7,35.99
256,2023-01-24,7,15,1,72,343.27
257,2023-03-31,4,2,13,104,591.15
258,2023-02-19,11,16,5,69,317.17
259,2024-08-30,2,16,6,99,544.51
260,2024-10-13,2,25,7,79,405.99
261,2023-04-23,8,13,3,34,149.19
262,2024-06-29,8,8,2,207,952.89
263,2023-05-12,11,7,5,58,290.59
264,2023-09-26,2,25,3,80,419.69
265,2024-03-14,14,1,8,295,1493.18
266,2024-06-10,9,11,4,143,878.21
267,2024-10-01,5,23,15,110,486.7
268,2023-02-02,12,22,6,47,284.81
269,2023-05-24,10,22,1,125,647.47
270,2023-07-25,14,22,1,106,625.24
271,2023-08-15,8,9,2,101,441.22
272,2024-12-30,11,13,10,17,73.43
273,2024-07-22,14,15,3,100,535.8
274,2023-08-23,13,3,1,77,551.65
275,2024-12-11,11,1,9,158,641.09
276,2023-12-31,6,16,12,182,1218.37
277,2024-01-02,3,6,1,174,931.81
278,2023-11-14,1,25,9,162,787.23
279,2023-04-16,4,21,6,147,818.77
280,2024-11-14,8,11,12,155,1085.43
281,2023-01-11,10,9,12,27,173.64
282,2023-05-08,3,11,4,62,365.35
283,2023-06-17,12,20,6,212,1203.17
284,2023-07-24,14,3,12,52,387.71
285,2023-04-07,2,20,4,242,1164.18
286,2023-01-14,13,1,2,107,443.45
287,2024-05-10,10,3,7,79,494.07
288,2024-12-09,2,2,9,94,472.18
289,2023-03-31,3,10,14,44,182.84
290,2023-08-05,12,11,15,112,691.08
291,2024-01-06,15,8,4,148,669.67
292,2024-11-09,12,25,9,212,840.11
293,2024-05-22,15,8,10,20,89.79
294,2024-07-14,6,15,4,172,856.0
295,2024-02-29,13,16,3,85,448.3
296,2023-11-01,13,8,9,80,337.1
297,2023-05-27,13,8,15,22,138.38
298,2024-09-23,1,8,1,60,295.14
299,2024-08-10,15,10,1,2,11.41
300,2023-01-19,8,14,7,50,327.14
301,2024-06-06,5,21,9,71,332.42
302,2023-03-03,12,10,10,38,132.71
303,2024-06-24,8,20,3,58,280.04
304,2024-08-26,6,17,13,70,395.31
305,2023-04-06,3,16,11,2,11.27
306,2023-11-14,13,3,2,1,3.53
307,2023-04-01,7,10,8,266,2096.87
308,2024-02-19,10,20,4,22,107.67
309,2024-11-09,2,2,3,153,808.02
310,2023-03-01,5,13,1,105,664.06
311,2023-10-18,11,3,2,233,754.01
312,2024-12-12,5,12,9,57,231.62
313,2023-08-08,2,22,10,111,475.79
314,2023-04-07,5,5,11,32,176.06
315,2023-12-24,13,10,7,38,239.13
316,2024-01-07,15,9,4,90,433.41
317,2024-04-29,13,23,13,200,1026.16
318,2023-08-18,6,22,2,112,478.88
319,2024-11-29,15,17,5,127,781.98
320,2024-01-16,13,23,13,183,1088.01
321,2023-07-29,1,7,15,45,211.0
322,2024-12-02,6,2,2,45,187.07
323,2024-11-07,13,25,1,50,238.46
324,2023-12-31,3,4,3,43,245.01
325,2023-01-19,5,19,12,35,232.27
326,2024-03-12,15,8,7,123,531.42
327,2024-02-10,3,23,8,31,140.09
328,2023-04-19,12,23,4,112,457.03
329,2024-04-08,12,23,8,5,22.56
330,2024-09-06,4,23,2,172,748.36
331,2023-03-19,2,14,10,67,273.76
332,2024-06-12,2,10,11,1,5.1
333,2023-04-13,14,22,6,18,121.34
334,2024-07-01,4,5,13,56,304.67
335,2023-11-03,14,10,6,193,1007.89
336,2023-01-05,8,13,2,73,312.15
337,2024-12-07,9,21,15,205,1003.27
338,2023-05-02,10,15,15,31,128.92
339,2024-03-11,7,21,5,162,841.39
340,2023-05-13,15,1,3,140,767.99
341,2024-11-13,14,9,2,53,186.75
342,2024-06-23,10,14,6,290,1748.36
343,2024-08-10,11,25,3,37,226.05
344,2023-11-12,11,13,6,24,116.07
345,2023-12-08,1,12,13,69,440.87
346,2024-04-08,5,8,15,21,104.13
347,2024-07-27,7,12,10,115,438.07
348,2024-09-11,3,14,8,47,291.02
349,2023-01-14,7,16,6,8,47.0
350,2024-04-30,10,13,13,47,268.4
351,2023-03-21,13,25,3,147,687.33
352,2023-07-30,12,2,13,168,1024.16
353,2024-08-29,14,22,15,88,426.48
354,2023-07-03,11,12,9,113,606.69
355,2024-08-05,9,22,4,101,567.84
356,2023-12-05,10,14,11,176,699.01
357,2023-06-20,2,20,15,44,199.03
358,2023-09-02,13,16,11,41,195.3
359,2024-01-23,10,16,15,11,49.87
360,2024-07-13,11,21,12,125,668.5
361,2024-03-18,7,13,5,87,478.36
362,2024-11-13,12,6,5,150,992.42
363,2024-09-26,7,19,10,56,291.51
364,2024-07-04,13,1,11,22,86.85
365,2024-03-16,15,6,11,1,4.22
366,2023-07-31,3,1,2,71,309.4
367,2023-10-29,15,3,1,60,275.45
368,2023-03-28,12,21,1,192,1122.52
369,2023-10-01,7,2,11,100,435.98
370,2024-11-08,9,5,5,188,899.1
371,2023-11-08,15,4,8,65,341.75
372,2023-03-25,8,2,15,77,455.88
373,2024-04-21,4,20,14,93,368.29
374,2024-12-04,10,8,4,115,681.74
375,2024-09-26,3,5,5,23,151.91
376,2023-07-20,6,14,13,101,675.68
377,2023-11-28,10,2,3,9,49.75
378,2024-01-24,9,8,11,1,5.03
379,2023-07-01,8,20,9,45,216.59
380,2023-07-16,3,1,15,88,472.94
381,2023-06-23,12,9,1,25,149.54
382,2024-12-28,4,7,2,153,565.77
383,2024-06-29,2,10,6,11,69.49
384,2024-09-06,5,6,4,292,1745.77
385,2024-08-19,8,15,3,237,1221.64
386,2024-12-02,1,20,7,211,903.93
387,2023-03-18,11,19,13,114,648.65
388,2024-10-06,11,20,2,64,265.23
389,2023-02-18,8,14,9,64,259.66
390,2023-12-14,7,1,13,99,472.19
391,2024-03-10,5,1,8,14,91.32
392,2023-09-19,8,21,1,58,289.23
393,2023-04-17,8,6,4,273,1079.39
394,2023-05-21,9,3,6,133,750.46
395,2024-08-25,9,18,7,95,500.32
396,2023-08-21,4,7,14,105,401.47
397,2023-08-15,9,9,4,76,522.57
398,2024-11-05,6,19,8,28,216.2
399,2023-04-16,9,6,3,267,1482.35
400,2024-10-31,11,21,3,52,293.59
401,2024-11-04,7,25,8,128,755.01
402,2024-03-13,6,7,10,19,99.11
403,2023-05-02,5,4,13,17,96.81
404,2023-04-24,14,16,14,159,505.24
405,2023-07-28,2,25,6,160,905.67
406,2024-02-27,13,14,2,64,256.69
407,2023-04-23,1,11,14,61,207.18
408,2023-11-30,10,7,12,32,178.39
409,2023-03-26,9,1,5,16,78.17
410,2024-01-30,11,7,10,193,866.18
411,2023-01-16,13,10,1,200,1095.73
412,2024-06-02,13,15,13,6,37.75
413,2023-02-10,12,23,12,23,134.56
414,2023-05-23,9,1,9,50,200.69
415,2023-05-08,9,22,6,288,1453.29
416,2024-08-30,11,20,4,54,257.34
417,2023-02-09,10,3,12,112,643.25
418,2023-11-10,8,11,2,122,544.55
419,2024-03-08,15,21,1,59,249.32
420,2024-01-13,5,2,11,13,57.59
421,2024-05-12,15,6,7,215,886.73
422,2024-08-10,11,5,15,82,399.65
423,2023-10-15,15,9,2,84,378.05
424,2024-08-28,4,18,4,37,157.74
425,2023-08-21,1,17,6,209,1305.55
426,2024-12-20,6,21,9,208,925.05
427,2024-01-04,10,23,13,56,342.82
428,2024-06-22,15,12,2,18,79.47
429,2024-10-01,12,22,12,142,979.89
430,2024-08-02,4,2,13,116,789.6
431,2024-09-14,2,12,10,132,732.41
432,2024-01-28,9,12,12,13,79.98
433,2023-02-01,6,25,8,7,35.8
434,2023-12-27,6,24,11,120,647.53
435,2023-05-13,3,13,14,76,251.48
436,2024-10-11,9,2,10,181,654.71
437,2023-06-23,6,11,2,99,403.48
438,2023-06-16,3,17,2,78,364.0
439,2023-07-02,7,19,1,102,500.47
440,2024-04-14,2,18,9,79,302.82
441,2024-02-22,3,19,9,74,436.45
442,2024-11-24,10,24,3,12,43.8
443,2023-11-01,8,23,14,43,145.47
444,2023-07-26,2,25,10,89,370.86
445,2023-02-06,3,24,13,31,212.92
446,2023-01-06,1,9,2,89,368.06
447,2023-10-01,14,21,14,36,117.81
448,2024-11-07,7,13,1,97,509.54
449,2024-01-18,3,9,11,30,148.29
450,2024-10-15,6,14,8,116,634.06
451,2023-03-16,8,8,4,218,1184.35
452,2023-03-10,1,10,6,100,521.06
453,2024-09-01,6,17,13,102,458.79
454,2023-03-20,7,18,8,152,945.13
455,2023-02-07,7,23,13,93,621.84
456,2023-10-23,15,21,14,98,287.44
457,2024-11-07,6,17,3,20,118.9
458,2024-05-18,3,19,2,135,523.76
459,2023-03-14,15,3,10,92,389.68
460,2024-09-03,15,24,3,85,375.61
461,2024-09-08,10,16,12,150,1012.22
462,2024-08-08,13,24,10,162,798.75
463,2024-10-21,1,10,7,31,196.14
464,2023-06-25,9,8,9,87,438.17
465,2024-12-17,13,22,2,60,236.74
466,2023-08-23,1,6,7,94,588.62
467,2024-08-09,9,24,1,304,1501.08
468,2024-02-28,3,7,12,68,414.52
469,2024-07-23,2,14,12,22,121.79
470,2024-04-03,10,21,4,42,181.49
471,2024-04-14,8,4,3,42,216.26
472,2024-03-26,7,14,4,144,753.67
473,2024-07-23,3,25,10,77,269.64
474,2024-06-24,5,3,1,77,378.65
475,2023-04-09,9,21,10,59,323.85
476,2024-08-26,7,18,12,19,138.47
477,2024-01-27,6,8,5,168,797.51
478,2023-08-25,15,7,15,72,369.95
479,2024-01-11,2,22,2,10,34.37
480,2024-12-07,7,11,11,36,181.46
481,2024-09-18,10,25,5,107,563.04
482,2024-09-01,9,12,14,62,234.49
483,2023-12-05,4,19,12,160,1029.65
484,2024-07-27,9,7,5,74,355.41
485,2023-10-09,12,11,13,63,424.12
486,2024-05-16,8,13,2,46,221.46
487,2024-04-12,14,19,6,172,1167.22
488,2023-07-02,11,6,7,128,736.25
489,2023-07-14,4,1,3,77,473.73
490,2023-02-14,10,4,8,34,228.86
491,2023-04-13,5,11,2,95,391.6
492,2023-11-13,4,12,6,125,536.99
493,2023-12-16,1,25,5,172,943.1
494,2023-05-01,12,15,4,136,717.22
495,2023-11-01,8,24,11,45,229.62
496,2024-03-17,13,4,1,196,965.44
497,2023-06-20,13,15,11,74,402.48
498,2023-09-05,5,24,14,286,787.98
499,2023-09-26,2,16,2,15,67.69
500,2024-01-05,11,15,5,70,314.64
501,2023-09-25,3,19,9,29,124.78
502,2024-06-22,11,2,7,122,694.49
503,2023-08-28,12,18,13,2,12.45
504,2023-11-14,11,13,3,206,1123.64
505,2023-10-05,10,20,8,158,817.08
506,2023-05-14,4,15,1,102,583.63
507,2024-05-16,3,24,6,50,266.71
508,2023-06-22,10,13,2,291,1601.27
509,2023-08-06,3,19,1,68,348.43
510,2024-08-02,8,23,9,1,4.61
511,2024-11-24,2,13,15,84,456.34
512,2024-05-05,4,21,7,116,501.58
513,2024-10-31,1,12,7,24,152.48
514,2024-09-16,5,5,3,60,337.58
515,2023-12-18,7,22,7,24,110.5
516,2024-07-17,2,22,4,101,499.88
517,2023-08-29,2,3,2,118,409.04
518,2023-12-03,12,19,13,95,549.39
519,2024-01-27,5,21,11,35,142.33
520,2024-12-03,7,22,13,81,435.81
521,2024-09-12,14,10,8,82,459.5
522,2023-12-24,1,3,10,192,884.52
523,2024-04-22,1,19,3,93,490.4
524,2023-05-28,6,17,13,38,214.37
525,2024-08-11,12,14,6,102,505.57
526,2024-02-09,15,25,15,56,281.0
527,2024-01-25,6,9,13,143,822.5
528,2024-07-14,5,19,1,227,1057.02
529,2024-04-07,7,24,11,17,78.33
530,2023-02-22,9,16,13,56,340.7
531,2023-07-30,15,1,6,24,149.67
532,2023-05-10,4,18,6,58,239.01
533,2024-06-21,9,6,7,37,198.29
534,2023-01-26,14,3,9,35,167.29
535,2023-05-28,1,12,5,56,306.48
536,2024-03-12,10,19,12,38,343.16
537,2024-05-22,12,15,14,186,558.11
538,2024-01-03,6,2,5,124,665.07
539,2024-09-21,9,18,6,70,450.11
540,2024-11-02,13,2,4,107,516.87
541,2023-04-07,12,9,5,47,248.06
542,2024-11-27,10,7,4,56,291.04
543,2024-03-25,3,13,6,34,238.08
544,2024-04-10,4,15,3,125,619.86
545,2023-03-11,4,9,15,191,931.28
546,2024-03-30,11,12,3,89,425.9
547,2024-06-14,14,2,8,45,252.45
548,2024-02-29,8,4,3,61,319.93
549,2023-03-03,7,20,15,209,1481.79
550,2024-01-18,15,24,8,85,381.38
551,2024-11-15,8,9,6,134,569.43
552,2024-06-12,11,17,1,169,912.83
553,2023-04-11,10,14,1,70,307.69
554,2024-12-02,13,25,7,80,430.33
555,2024-12-01,8,4,14,24,64.13
556,2023-05-04,6,6,12,204,1126.87
557,2024-08-08,12,11,12,120,678.17
558,2023-10-25,1,18,3,238,1187.97
559,2024-03-09,4,21,15,94,447.34
560,2023-11-22,2,19,5,35,205.35
561,2024-07-26,14,12,6,6,28.72
562,2024-12-29,14,24,4,118,639.2
563,2024-08-04,1,22,5,197,915.95
564,2024-11-11,4,4,13,317,2061.21
565,2024-11-22,8,23,6,94,539.83
566,2023-03-07,15,11,10,62,283.06
567,2023-07-05,15,5,8,406,1730.82
568,2024-06-11,9,9,12,52,293.48
569,2024-03-07,10,21,13,40,226.74
570,2023-02-06,5,2,5,199,1064.14
571,2023-03-11,8,4,11,138,735.64
572,2024-01-16,14,7,7,50,279.39
573,2024-03-26,15,18,6,72,450.65
574,2023-05-03,9,15,13,121,583.05
575,2023-05-06,2,10,4,28,144.05
576,2023-04-05,5,19,15,137,719.92
577,2024-02-17,7,13,13,52,313.52
578,2023-01-06,5,23,9,55,272.45
579,2024-02-23,14,9,6,7,47.51
580,2023-12-14,8,18,10,235,1075.9
581,2023-12-07,11,18,12,1,6.33
582,2024-05-11,12,17,8,17,83.99
583,2024-01-18,6,3,10,332,1461.57
584,2024-06-15,13,22,5,125,463.38
585,2024-07-12,15,17,11,12,53.07
586,2024-11-03,6,17,2,108,440.87
587,2024-08-07,12,6,12,33,211.4
588,2024-01-14,9,11,9,105,403.16
589,2023-12-26,15,14,1,143,725.81
590,2023-06-22,11,13,3,51,238.38
591,2024-03-14,9,21,4,57,275.09
592,2023-04-12,13,25,6,19,100.06
593,2024-11-11,1,2,8,16,89.9
594,2024-09-09,14,10,11,141,492.27
595,2023-03-29,15,15,10,57,235.01
596,2024-07-28,12,10,8,270,1253.14
597,2023-03-27,13,20,13,75,442.98
598,2024-06-11,6,24,4,112,737.16
599,2023-03-06,9,12,14,152,573.19
600,2023-12-23,3,21,15,16,81.41
601,2024-04-25,3,9,7,89,435.18
602,2024-06-16,7,1,14,42,159.83
603,2023-11-03,14,22,3,16,91.51
604,2024-11-04,9,24,3,73,295.72
605,2024-07-20,10,3,14,97,399.94
606,2023-06-02,15,6,10,55,231.31
607,2024-05-05,1,2,6,69,341.72
608,2024-06-18,1,4,9,43,244.25
609,2023-09-01,8,16,15,104,486.77
610,2024-06-23,3,3,2,144,641.85
611,2024-10-18,15,22,1,249,1396.35
612,2024-08-20,5,14,1,167,712.59
613,2024-07-11,9,23,1,53,295.94
614,2024-04-08,1,6,8,92,576.95
615,2023-07-17,11,15,7,186,1025.31
616,2024-08-04,15,18,10,220,803.8
617,2023-09-24,10,15,13,26,154.33
618,2024-01-25,7,22,11,45,185.58
619,2023-08-18,8,21,15,122,662.04
620,2023-08-17,7,5,2,59,259.18
621,2023-04-26,11,24,15,89,481.53
622,2024-12-03,3,5,10,99,555.73
623,2023-04-19,3,22,10,4,18.22
624,2023-03-05,9,11,3,102,572.1
625,2024-11-15,6,2,7,2,10.98
626,2024-02-10,14,4,5,38,243.13
627,2023-11-17,14,19,12,117,843.46
628,2024-06-23,15,21,4,98,553.04
629,2023-10-08,5,5,12,41,311.2
630,2023-04-04,5,6,13,13,84.81
631,2024-06-17,7,9,1,134,730.41
632,2023-05-09,12,12,3,64,345.22
633,2024-02-09,2,5,6,91,580.71
634,2024-11-24,11,22,8,18,109.44
635,2024-11-15,14,25,3,16,89.74
636,2023-09-21,14,6,15,30,124.83
637,2024-07-24,5,6,5,8,49.39
638,2024-03-23,7,15,11,97,488.19
639,2023-12-17,9,8,13,98,538.59
640,2023-04-13,5,14,10,75,331.87
641,2023-10-03,6,20,5,10,49.67
642,2024-04-21,6,25,10,243,1077.1
643,2024-12-22,6,4,15,22,114.6
644,2023-01-04,6,15,7,78,415.42
645,2024-06-08,3,22,3,128,555.2
646,2024-09-10,8,13,10,32,176.08
647,2024-11-26,15,7,7,195,952.08
648,2023-11-06,4,17,13,101,660.55
649,2023-03-28,5,4,9,221,916.74
650,2023-07-18,4,23,8,272,1280.51
651,2024-09-13,6,7,8,122,747.3
652,2024-10-03,1,2,12,1,6.62
653,2024-04-10,3,11,13,55,406.46
654,2023-03-31,5,6,12,111,561.7
655,2023-03-31,10,10,11,33,154.53
656,2023-12-16,6,8,8,52,261.77
657,2024-03-06,2,19,10,215,884.5
658,2023-01-24,9,1,15,161,659.67
659,2024-05-16,10,9,13,16,105.77
660,2024-02-03,10,5,9,119,590.98
